ID,SIRE,DAM,SEXO,S
154,102,61,female,2
155,115,107,MALE,1
156,75,123,female,2
157,0,76,female,2
158,0,0,female,2
159,119,0,female,2
160,96,104,female,2
161,100,55,MALE,1
162,100,1,MALE,1
163,100,124,MALE,1
164,70,87,MALE,1
165,99,81,female,2
166,0,0,female,2
167,62,103,female,2
168,0,0,MALE,1
169,0,0,female,2
170,118,126,female,2
171,0,0,female,2
172,96,104,female,2
173,118,98,female,2
174,118,97,MALE,1
175,62,0,female,2
176,110,47,female,2
177,112,95,female,2
178,75,80,female,2
179,62,109,female,2
180,102,91,female,2
181,75,129,female,2
182,137,93,female,2
183,75,123,female,2
184,102,111,female,2
185,119,106,MALE,1
186,0,0,female,2
187,0,0,female,2
188,102,125,MALE,1
189,127,177,female,2
190,62,60,MALE,1
191,102,129,MALE,1
192,119,104,female,2
193,102,71,MALE,1
194,127,141,female,2
195,0,0,female,2
196,0,0,MALE,1
197,0,0,female,2
198,0,0,female,2
199,118,121,MALE,1
200,0,0,female,2
201,150,165,female,2
202,0,0,MALE,1
203,0,0,MALE,1
204,134,117,female,2
205,99,158,female,2
206,59,76,female,2
207,62,0,MALE,1
208,112,120,MALE,1
209,127,177,female,2
210,102,140,female,2
211,0,56,MALE,1
212,102,87,MALE,1
213,152,93,MALE,1
214,102,125,MALE,1
215,0,0,MALE,1
216,168,169,MALE,1
217,0,0,female,2
218,0,0,female,2
219,131,136,MALE,1
220,0,105,MALE,1
221,164,154,female,2
222,147,140,female,2
223,137,89,female,2
224,102,82,MALE,1
225,168,122,female,2
226,131,158,female,2
227,113,76,female,2
228,164,146,female,2
229,0,0,female,2
230,0,0,female,2
231,0,0,female,2
232,0,0,female,2
233,148,165,MALE,1
234,168,123,female,2
235,191,189,female,2
236,134,192,female,2
237,164,180,MALE,1
238,0,143,female,2
239,164,179,female,2
240,25,145,female,2
241,164,176,MALE,1
242,168,129,MALE,1
243,168,136,MALE,1
244,152,129,MALE,1
245,164,154,female,2
246,134,159,female,2
247,102,87,MALE,1
